0
超出
预期
陈凯歌
小男孩
太棒了
北京
你好
宁浩
北京
奥运会
赛事
拍
接地
气
笑
带泪
奥运会
门票
线索
串起
事
表面
喜剧
内核
悲剧
笑
笑
哭
前夜
次之
没有
人理
所有人
绵薄之力
烟斗
勺子
铁锤
长命锁
瞬间
泪崩
夺冠
北京
你好
类似
透过
老百姓
视角
反映
时代
事件
主角
伟人
没有
轰轰烈烈
壮举
人
共鸣
白昼
流星
借助
航天
探讨
贫富差距
年代
人类
进入
太空
人
看不起
病
买不起
衣服
扶贫
在于
物质
层面
教育
思想
扶贫
白昼
流星
流星
宇宙飞船
带领
前行
人
探索
宇宙
宇航员
小孩
见识
世界
老者
人
看
排名
无所谓
大家
白昼
流星
扣
星
喜欢
女排
故事
小演员
可爱
优叔
出现
感觉
过年
旗杆
升起
红布
报纸
登载
名字
电视
错过
情窦
鸟巢
交换
运气
秒针
等待
流星
划破
回乡
女排
夺冠
终结
暗恋
核弹
爆破
奥运
开幕
兑换
运气
香港回归
校准
思念
历史瞬间
回忆
记得
不怎么
感冒
献礼片
朱一龙
缘故
关注
祖国
发现
想象
爱
国家
献礼片
意义
串联
纪念
传承
非常适合
全家
观看
小伙子
想
女孩
表达
爱意
甜言蜜语
可讲
小伙儿
一拥而上
表白
爱爱爱
听
不到
声音
慷慨激昂
空洞
徐峥
胜出
陈凯歌
总导演
自告奋勇
本子
想到
可能
国庆
档
好看
王菲
主题曲
渲染
看
主旋律
刻板
印象
故事
小人物
切口
讲述
会
忘掉
主旋律
影子
进入
故事
嫌
故事
亲身经历
喜欢
程度
徐峥
夺冠
宁浩
北京
你好
张一白
相遇
管虎
前夜
文
牧野
护航
陈凯歌
白昼
流星
薛晓璐
回归
爬
房顶
求助
张罗
陈旧
青
春之歌
屋顶
天线
超人
不能
东方之珠
送
奥运
门票
回乡
人
没能
实现
飞行
无名
历史
书
看不到
可爱
笑
泪
历史长河
经历
生活
宁浩
葛
大爷
祖国
回归
再现
香港回归
场景
青年
演员
朱一龙
饰演
护旗手
迈着
步伐
走向
升旗台
时
好像
庄严肃穆
现场
澎湃
心情
难以言表
主旋律
电影
打开方式
没有
强调
家国
情怀
普通人
小人物
视角
去
切入
共鸣
好看
程度
上来
戏剧化
夸张
接受
范围
内
不会
假大空
感
风格各异
故事
合集
维持
水准
喜欢
徐峥
导演
夺冠
童趣
任务
电影
拍
成
大
时代
看到
人性
徐峥
宁浩
发挥
凯歌
老师
emmmmm
儿子
特写
拍
三星
徐峥
基本
繁花
缺陷
冬冬
长大
变成
吴京
胡歌
宁浩
分寸
葛优
掌控
管虎
罚
拍
旗帜
张一白
浪费
题材
柳云龙
风筝
蒙冤
情节
演员
没有
驾驭
弄成
话剧
文
牧野
亮点
雷
佳音
荤段子
陈凯歌
虚头巴脑
玩意
薛晓璐
零蛋
电影
注定
带
餐巾纸
去
后悔
后
感觉
大事
发生
太小
还好
步入
成年
看到
电影
深深地
教会
祖国
荣辱
教科书
有力
教法
期待
着有
前辈
说
幸不辱命
人
祖国
母亲
庆生
感动
祖国
不能
分割
理智
人
看到
祖国
前进
勇闯
难关
无所畏惧
祖国
香港
离开
祖国
母亲
香港
回到
祖国
日子
不会
忘记
日子
建国
周年
献礼片
祖国
电影
回归
时刻
时
分
国歌
响起
杜江
饰演
仪仗队
升旗手
升起
国旗
朱一龙
饰演
海军
士兵
敬起
军礼
表情
看着
五星红旗
冉冉升起
香港
同胞
热泪盈眶
瞬间
香港
回到
祖国
母亲
怀抱
管虎
分
败笔
倒计时
字幕
黄渤的
大量
旁白
解说
加剧
叙事
流水账
感
短片
还用
明星
客串
分散
焦点
增加
感
张一白
分
故事
任素
大段
独白
撑
演技
可谓
信手拈来
徐峥
分
生活气息
时代感
值得
商榷
弄堂
会
抛出
国旗
薛晓路
分
不能
切得
任达华
角色
设定
刻意
线
牵强
宁浩
分
奥运
命题作文
生造
小事
葛
大爷
能演
遮不住
故事
空洞
陈凯歌
分
毫无
关联
两件事
凑
符合
陈
不着
调
风格
值得
夸
故事
放在
文
牧野
分
导演
拍出
锐气
祖国
回归
故事
好像
听
看到
钟声
准时
敲响
护旗手
肃
手
敬礼
瞬间
流下泪来
气势
震撼人心
画面
哭成
狗
说
刷
走起
爱国
事情
爱国
国家
经历
产生
共情
功绩
成就
需要
歌颂
主旋律
电影
存在
合理性
质疑
回头
看看
遗忘
正视
电影
看
资源
到位
献礼片
难免会
人
联想
过去
跟涨
票房
相比
中国
电影
方面
做出
觉悟
实在
微不足道
祖国
汇集
位
导演
集合
演员
前夜
经历
相遇
看
女排
夺冠
了解
香港
回归
祖国
怀抱
奥运
说
北京
你好
观
白昼
流星
护航
心潮
澎拜
自豪
油然而生
愿
祖国
繁荣昌盛
任务
电影
拍
成
大
时代
看到
人性
徐峥
宁浩
发挥
凯歌
老师
emmmmm
儿子
特写
拍
香港
离开
祖国
母亲
香港
回到
祖国
日子
不会
忘记
日子
建国
周年
献礼片
祖国
电影
回归
时刻
时
分
国歌
响起
杜江
饰演
仪仗队
升旗手
升起
国旗
朱一龙
饰演
海军
士兵
敬起
军礼
表情
看着
五星红旗
冉冉升起
香港
同胞
热泪盈眶
瞬间
香港
回到
祖国
母亲
怀抱
北京
你好
逗
回归
护航
燃
相遇
催泪
夺冠
前夜
白昼
流星
点燃
希望
中国
成立
故事
致敬
历史
展望未来
喜欢
祖国
热泪盈眶
前辈
当自强
How
abandon
personal
life
untry
故事
张一白
拍
故事
好像
梦
中国
炎黄子孙
梦
中国
人
华夏儿女
坚守
梦
实现
电影
感人
中国
人
感到
自豪
祖国
导演
执
环
年代
事件
串接
风格各异
共成
一色
故事
昂扬
陈凯歌
执导
亮相
白昼
流星
大气
温暖
李叔
荒漠
戈壁
坚守
沃德乐
兄弟
迷途知返
陈凯歌
老练
转切
对接
铺垫
推进
化作
沁心
感动
故事
壮美
画面
相
映衬
佐证
陈凯歌
控
功力
喜欢
黄渤那
部分
空军
飞行员
白昼
流星
部分
陈
飞宇
演
还给
没有
故事
脸
特写
剧情
神州
降落点
进去
逻辑
死
个人
认为
管虎
命题作文
学习
委员
级别
带头作用
调度
高运镜
切入点
情绪
饱满
收尾
做
细节
处理
张一白
语文课
代表
大入
小
家国
情怀
糅合
男女
纯情
书面上
看
极具
辞藻
特色
公交车
任素
讲述
配上
张译
层层
递进
眼神
在我看来
觉得
任素
讲
空洞
徐峥
体育
委员
参与
考试
挑
拿手
乒乓球
排球
房顶
穿
街巷
动词
不落
跃然纸上
活力
差点
写
跑题
圆
回来
交卷
宁浩
应该
坐在
教室
后排
不怎么
听讲
天赋
老师
爱
恨
学生
出奇制胜
灵光
乍现
会
一气呵成
想到
主人公
葛优
麻利
儿
搞完
放学
感受
点评
发挥
电影
讲
祖国
牺牲
角度
喜欢
人
说
陈凯歌
支
爱国
浓度
喜欢
基本
观感
排序
宁浩
陈凯歌
文
牧野
徐峥
管虎
张一白
薛晓路
喜欢
冬冬
排名分
先后
宁浩
张一白
徐峥
管虎
文
牧野
薛晓路
陈凯歌
主旋律
好看
热血
燃情
全民
记忆
薪火相传
主创
阵容
国庆
档
献礼
大片
历史瞬间
小人物
喜怒哀乐
联结
触发
国人
共情
影片
印象
时刻
夺冠
童年
故事
融合
女排
精神
极具
代入
回忆
杀
北京
你好
奥运会
汶川
地震
交织
力量
白昼
流星
陈凯歌
拿手
命运
洪荒
挖掘
人物
闪光点
呈现
过往
在于
展望未来
宁浩
管虎
徐峥
张一白
陈凯歌
文
牧野
薛晓路
陈凯歌
部分
败笔
部分
部分
衔接
