评分,国产电影数量
40,0
40,3
50,3
40,3
50,1
40,1
50,0
40,0
40,1
40,2
40,3
40,1
40,0
50,0
50,3
50,3
20,0
40,2
50,2
30,1
40,2
30,0
40,1
40,2
40,1
50,3
40,1
20,2
40,0
30,1
40,0
20,0
