评分,国产电影数量
30,0
50,0
50,5
30,3
40,1
40,1
40,1
40,4
50,3
50,5
40,0
40,3
50,5
30,4
40,5
50,2
40,3
40,1
40,4
30,0
40,3
20,4
50,1
40,5
20,2
10,0
20,1
20,1
50,0
40,3
50,2
40,1
40,4
20,2
40,1
20,0
30,0
10,0
20,0
30,3
10,1
40,1
50,1
50,2
20,0
30,3
30,0
40,3
10,0
20,0
30,3
10,1
30,1
40,1
30,4
30,0
30,4
30,1
20,0
20,0
40,2
20,4
10,1
20,0
30,1
40,0
20,4
20,1
30,0
40,0
20,4
20,0
10,0
30,6
20,2
50,1
10,1
40,6
50,0
40,1
20,2
20,1
30,2
40,0
40,6
